Noise_Multiplier,Clip_Norm,Epsilon,Delta,Privacy_Regime,Final_Accuracy,Final_AUC,Worst_Hospital_AUC
0.0,1.0,inf,1e-05,No Privacy Guarantee (Functional),0.8017,0.8476,0.7798
1.6782897735219222,1.0,10.0,1e-05,No Privacy Guarantee (Functional),0.5779,0.6112,0.554
3.3565795470438444,1.0,5.0,1e-05,Moderate Privacy (eps = 5.00),0.6625,0.5109,0.5027
16.782897735219223,1.0,1.0,1e-05,Strong Privacy (eps = 1.00),0.4746,0.5052,0.4837
33.565795470438445,1.0,0.5,1e-05,Very Strong Privacy (eps = 0.50),0.3675,0.4095,0.3553
