Algorithm,Mu,Final_Accuracy,Final_AUC,Worst_Hospital_AUC,Equity_Gap,H2_Before_Pers,H2_After_Pers
FedAvg,0.0,0.805,0.8471,0.78,0.0785,0.8204,0.82
FedProx (mu=0.01),0.01,0.8042,0.8476,0.7855,0.0732,0.8134,0.8157
FedAdam,0.0,0.8025,0.8456,0.7798,0.0812,0.8239,0.8377
FedYogi,0.0,0.8029,0.8454,0.7782,0.079,0.8203,0.8253
QFedAvg,0.0,0.715,0.662,0.552,0.1453,0.552,0.7834
FedNova,0.0,0.8021,0.8474,0.7844,0.0714,0.8185,0.8177
SCAFFOLD,0.0,0.7208,0.7971,0.7165,0.0934,0.8099,0.8237
FedPer,0.0,0.8017,0.8461,0.784,0.0737,0.8206,0.8161
FedBN,0.0,0.8004,0.8451,0.7783,0.083,0.8174,0.7759
